strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
optimized,50000000000000000000,1,49997000000000000000,30000,False,1,19999999999999996,115789473684210528,100000000000,50000000000000000000,optimized_c56ba818-9db6-4f2b-98a2-34fcaa44a534.json,c56ba818-9db6-4f2b-98a2-34fcaa44a534
uniform,2000000000000000000,5,9985000000000000000,150000,False,47,119999999999999984,273684210526315744,100000000000,10000000000000000000,uniform_73dbda56-ca30-4579-a9ba-1b0b47aed59a.json,73dbda56-ca30-4579-a9ba-1b0b47aed59a
optimized,50000000000000000000,1,49994000000000000000,30000,False,10,109999999999999968,155263157894736832,200000000000,50000000000000000000,optimized_7c8bbb33-2dee-460a-aa3a-b664d5372524.json,7c8bbb33-2dee-460a-aa3a-b664d5372524
optimized,100000000000000000000,1,99999400000000000000,30000,False,13,139999999999999984,155263157894736832,20000000000,100000000000000000000,optimized_d9807eda-0710-422c-b37c-13f224734824.json,d9807eda-0710-422c-b37c-13f224734824
uniform,10000000000000000000,5,49985000000000000000,150000,False,52,139999999999999984,142105263157894736,100000000000,50000000000000000000,uniform_94b1f493-4818-445f-b286-ec4683d394e4.json,94b1f493-4818-445f-b286-ec4683d394e4
optimized,50000000000000000000,1,49999700000000000000,30000,False,12,129999999999999984,194736842105263168,10000000000,50000000000000000000,optimized_ffc5423c-f424-44d7-a424-02a499c53c03.json,ffc5423c-f424-44d7-a424-02a499c53c03
optimized,10000000000000000000,1,9999400000000000000,30000,False,3,30000000000000000,273684210526315744,20000000000,10000000000000000000,optimized_a7bf3266-e748-4885-a4c7-9f23d108026e.json,a7bf3266-e748-4885-a4c7-9f23d108026e
uniform,40000000000000000000,5,199970000000000000000,150000,False,34,79999999999999984,115789473684210528,200000000000,200000000000000000000,uniform_5b0083ec-a229-4cf2-af91-740204d78a28.json,5b0083ec-a229-4cf2-af91-740204d78a28
greedy,200000000000000000000,1,199999700000000000000,30000,False,12,129999999999999984,207894736842105248,10000000000,200000000000000000000,greedy_45a3a3dc-6413-4eec-8cde-c15d99195dea.json,45a3a3dc-6413-4eec-8cde-c15d99195dea
uniform,2000000000000000000,5,9998500000000000000,150000,False,14,30000000000000000,221052631578947328,10000000000,10000000000000000000,uniform_c091997e-027a-4eef-8f94-0fecbf8353de.json,c091997e-027a-4eef-8f94-0fecbf8353de
greedy,50000000000000000000,1,49999400000000000000,30000,False,15,150000000000000000,286842105263157888,20000000000,50000000000000000000,greedy_ecf9808d-7315-4ee2-a622-ddf028c49d56.json,ecf9808d-7315-4ee2-a622-ddf028c49d56
uniform,2000000000000000000,5,9998500000000000000,150000,False,50,129999999999999984,194736842105263168,10000000000,10000000000000000000,uniform_a3fcbe06-868f-45a6-bb28-0881042d1f0a.json,a3fcbe06-868f-45a6-bb28-0881042d1f0a
uniform,20000000000000000000,5,99998500000000000000,150000,False,4,10000000000000000,63157894736842104,10000000000,100000000000000000000,uniform_33a7c9a7-6e46-4b46-8deb-15e11ceae0b8.json,33a7c9a7-6e46-4b46-8deb-15e11ceae0b8
greedy,10000000000000000000,1,9998500000000000000,30000,False,1,19999999999999996,300000000000000000,50000000000,10000000000000000000,greedy_c709c779-65be-4032-8cf2-c45176536586.json,c709c779-65be-4032-8cf2-c45176536586
optimized,10000000000000000000,1,9999400000000000000,30000,False,9,99999999999999984,142105263157894736,20000000000,10000000000000000000,optimized_14d4f643-7d7a-44d0-b231-a8b84951c2f4.json,14d4f643-7d7a-44d0-b231-a8b84951c2f4
greedy,200000000000000000000,1,199997000000000000000,30000,False,11,119999999999999984,286842105263157888,100000000000,200000000000000000000,greedy_157ac9e5-a4c6-4028-8e31-79a9d080ce2c.json,157ac9e5-a4c6-4028-8e31-79a9d080ce2c
uniform,10000000000000000000,5,49992500000000000000,150000,False,47,119999999999999984,76315789473684208,50000000000,50000000000000000000,uniform_a3a5618e-ba41-4798-ac9d-caf8d918487b.json,a3a5618e-ba41-4798-ac9d-caf8d918487b
optimized,50000000000000000000,1,49994000000000000000,30000,False,9,99999999999999984,63157894736842104,200000000000,50000000000000000000,optimized_1e1f929f-ecf5-4fbf-acfe-325882fc3758.json,1e1f929f-ecf5-4fbf-acfe-325882fc3758
greedy,100000000000000000000,1,99998500000000000000,30000,False,15,150000000000000000,50000000000000000,50000000000,100000000000000000000,greedy_d727698c-db5b-4420-900a-749bb226a6b6.json,d727698c-db5b-4420-900a-749bb226a6b6
optimized,50000000000000000000,1,49999700000000000000,30000,False,1,10000000000000000,76315789473684208,10000000000,50000000000000000000,optimized_812645cd-a9e6-4672-bbf9-46f84e07f25d.json,812645cd-a9e6-4672-bbf9-46f84e07f25d
greedy,100000000000000000000,1,99994000000000000000,30000,False,9,99999999999999984,300000000000000000,200000000000,100000000000000000000,greedy_199bc557-8dac-4982-b3f9-cbc9c729ee6e.json,199bc557-8dac-4982-b3f9-cbc9c729ee6e
uniform,40000000000000000000,5,199998500000000000000,150000,False,22,49999999999999992,128947368421052640,10000000000,200000000000000000000,uniform_b5b25f1e-18aa-4332-84ac-07546c53121e.json,b5b25f1e-18aa-4332-84ac-07546c53121e
greedy,200000000000000000000,1,199997000000000000000,30000,False,10,109999999999999968,168421052631578944,100000000000,200000000000000000000,greedy_f49b9e09-5067-4942-9649-e8dc17345473.json,f49b9e09-5067-4942-9649-e8dc17345473
uniform,20000000000000000000,5,99970000000000000000,150000,False,52,139999999999999984,273684210526315744,200000000000,100000000000000000000,uniform_bdc39fba-5e3b-4a10-95b9-895966f4c505.json,bdc39fba-5e3b-4a10-95b9-895966f4c505
uniform,20000000000000000000,5,99992500000000000000,150000,False,18,39999999999999992,247368421052631584,50000000000,100000000000000000000,uniform_55f63aca-9a72-42d8-bfb3-4f6e76d1b72c.json,55f63aca-9a72-42d8-bfb3-4f6e76d1b72c
greedy,50000000000000000000,1,49999400000000000000,30000,False,8,89999999999999984,155263157894736832,20000000000,50000000000000000000,greedy_3748269a-c21f-4bb9-8a06-ff6e61011915.json,3748269a-c21f-4bb9-8a06-ff6e61011915
optimized,10000000000000000000,1,9999700000000000000,30000,False,3,30000000000000000,234210526315789472,10000000000,10000000000000000000,optimized_aceda12b-f166-49e8-b912-befd81578d6e.json,aceda12b-f166-49e8-b912-befd81578d6e
uniform,40000000000000000000,5,199985000000000000000,150000,False,40,99999999999999984,50000000000000000,100000000000,200000000000000000000,uniform_00101518-ab89-488d-add9-bcf5665148b1.json,00101518-ab89-488d-add9-bcf5665148b1
uniform,20000000000000000000,5,99985000000000000000,150000,False,18,39999999999999992,102631578947368416,100000000000,100000000000000000000,uniform_5e88b2dc-4ee4-4486-bd14-e8225417f25e.json,5e88b2dc-4ee4-4486-bd14-e8225417f25e
optimized,200000000000000000000,1,199999700000000000000,30000,False,10,109999999999999968,273684210526315744,10000000000,200000000000000000000,optimized_bb258f6a-3fa1-4a76-ad79-ded16f8bf6df.json,bb258f6a-3fa1-4a76-ad79-ded16f8bf6df
optimized,10000000000000000000,1,9997000000000000000,30000,False,3,30000000000000000,194736842105263168,100000000000,10000000000000000000,optimized_f641503f-81f3-458a-b40f-60a6f2d03488.json,f641503f-81f3-458a-b40f-60a6f2d03488
optimized,200000000000000000000,1,199997000000000000000,30000,False,3,39999999999999992,181578947368421056,100000000000,200000000000000000000,optimized_cb02ed9c-11d0-4cd0-9431-55e17ce9adf8.json,cb02ed9c-11d0-4cd0-9431-55e17ce9adf8
uniform,20000000000000000000,5,99998500000000000000,150000,False,9,19999999999999996,286842105263157888,10000000000,100000000000000000000,uniform_57d18bbc-ef82-492c-b342-acb4d7ccabef.json,57d18bbc-ef82-492c-b342-acb4d7ccabef
optimized,100000000000000000000,1,99999400000000000000,30000,False,3,39999999999999992,273684210526315744,20000000000,100000000000000000000,optimized_31044219-094d-48da-a409-8b7e2261c76b.json,31044219-094d-48da-a409-8b7e2261c76b
uniform,10000000000000000000,5,49997000000000000000,150000,False,34,79999999999999984,115789473684210528,20000000000,50000000000000000000,uniform_637ddf4a-9c51-4a8b-9a2c-ec71f6fa2f86.json,637ddf4a-9c51-4a8b-9a2c-ec71f6fa2f86
greedy,200000000000000000000,1,199997000000000000000,30000,False,6,69999999999999992,273684210526315744,100000000000,200000000000000000000,greedy_ed294d62-de1b-44aa-bb5c-34ddd1b70bf8.json,ed294d62-de1b-44aa-bb5c-34ddd1b70bf8
uniform,20000000000000000000,5,99992500000000000000,150000,False,14,30000000000000000,76315789473684208,50000000000,100000000000000000000,uniform_e3fa186e-d3dd-470f-a937-9ef056e09387.json,e3fa186e-d3dd-470f-a937-9ef056e09387
greedy,100000000000000000000,1,99998500000000000000,30000,False,3,30000000000000000,234210526315789472,50000000000,100000000000000000000,greedy_4edfaf2a-efb8-4797-8f6a-4252b08e7f29.json,4edfaf2a-efb8-4797-8f6a-4252b08e7f29
optimized,10000000000000000000,1,9994000000000000000,30000,False,15,150000000000000000,63157894736842104,200000000000,10000000000000000000,optimized_9c7030fa-afd2-4137-b5c2-f21549d19fba.json,9c7030fa-afd2-4137-b5c2-f21549d19fba
uniform,20000000000000000000,5,99985000000000000000,150000,False,37,89999999999999984,286842105263157888,100000000000,100000000000000000000,uniform_080345ae-efce-42e0-a8f7-1bdd2dfce92e.json,080345ae-efce-42e0-a8f7-1bdd2dfce92e
uniform,10000000000000000000,5,49997000000000000000,150000,False,52,139999999999999984,89473684210526320,20000000000,50000000000000000000,uniform_b09d9616-d113-48f6-a56c-be11e6f1fec7.json,b09d9616-d113-48f6-a56c-be11e6f1fec7
optimized,50000000000000000000,1,49999700000000000000,30000,False,1,19999999999999996,300000000000000000,10000000000,50000000000000000000,optimized_0c1ea357-2695-4181-83f0-f05d201a1de4.json,0c1ea357-2695-4181-83f0-f05d201a1de4
uniform,40000000000000000000,5,199998500000000000000,150000,False,9,19999999999999996,50000000000000000,10000000000,200000000000000000000,uniform_177d0712-011f-48f9-861b-8884763ec405.json,177d0712-011f-48f9-861b-8884763ec405
greedy,100000000000000000000,1,99999400000000000000,30000,False,15,150000000000000000,300000000000000000,20000000000,100000000000000000000,greedy_5c671bbe-2059-49bf-90d6-3467bcb0ae60.json,5c671bbe-2059-49bf-90d6-3467bcb0ae60
optimized,50000000000000000000,1,49999400000000000000,30000,False,5,59999999999999992,102631578947368416,20000000000,50000000000000000000,optimized_9291be4c-0f82-44a2-b7b8-183355954279.json,9291be4c-0f82-44a2-b7b8-183355954279
uniform,20000000000000000000,5,99970000000000000000,150000,False,14,30000000000000000,300000000000000000,200000000000,100000000000000000000,uniform_a10e99c6-3017-4f28-8bec-c48721006161.json,a10e99c6-3017-4f28-8bec-c48721006161
greedy,100000000000000000000,1,99994000000000000000,30000,False,6,69999999999999992,300000000000000000,200000000000,100000000000000000000,greedy_9e539350-af78-4b26-a313-c1a4352a7e9d.json,9e539350-af78-4b26-a313-c1a4352a7e9d
uniform,20000000000000000000,5,99998500000000000000,150000,False,9,19999999999999996,234210526315789472,10000000000,100000000000000000000,uniform_cb438b60-effd-480c-904a-c7f7fe6c3dce.json,cb438b60-effd-480c-904a-c7f7fe6c3dce
greedy,200000000000000000000,1,199999400000000000000,30000,False,15,150000000000000000,247368421052631584,20000000000,200000000000000000000,greedy_b92f6048-1911-4643-a919-975ec74a84d1.json,b92f6048-1911-4643-a919-975ec74a84d1
uniform,2000000000000000000,5,9992500000000000000,150000,False,9,19999999999999996,155263157894736832,50000000000,10000000000000000000,uniform_db50eb1a-91d3-4ef4-974c-6df82ffb5d00.json,db50eb1a-91d3-4ef4-974c-6df82ffb5d00
greedy,10000000000000000000,1,9999700000000000000,30000,False,4,49999999999999992,300000000000000000,10000000000,10000000000000000000,greedy_94b1b3fa-071c-40f4-95e0-7eeaff07a8f2.json,94b1b3fa-071c-40f4-95e0-7eeaff07a8f2
greedy,200000000000000000000,1,199997000000000000000,30000,False,3,39999999999999992,63157894736842104,100000000000,200000000000000000000,greedy_9a720e18-3cde-4175-9e2c-146c639e3939.json,9a720e18-3cde-4175-9e2c-146c639e3939
optimized,50000000000000000000,1,49997000000000000000,30000,False,11,119999999999999984,234210526315789472,100000000000,50000000000000000000,optimized_04791260-0f5b-4807-beae-58326dc5c537.json,04791260-0f5b-4807-beae-58326dc5c537
optimized,200000000000000000000,1,199997000000000000000,30000,False,1,10000000000000000,128947368421052640,100000000000,200000000000000000000,optimized_8a61ffa2-5024-46c7-8eda-9b6adc0e2f1f.json,8a61ffa2-5024-46c7-8eda-9b6adc0e2f1f
greedy,200000000000000000000,1,199997000000000000000,30000,False,3,30000000000000000,234210526315789472,100000000000,200000000000000000000,greedy_ee2d2670-ad5e-43f1-acbc-19805df3c4f9.json,ee2d2670-ad5e-43f1-acbc-19805df3c4f9
uniform,2000000000000000000,5,9985000000000000000,150000,False,40,99999999999999984,300000000000000000,100000000000,10000000000000000000,uniform_871ac771-43b9-406d-8ee5-b645d9a8be2d.json,871ac771-43b9-406d-8ee5-b645d9a8be2d
optimized,10000000000000000000,1,9997000000000000000,30000,False,3,39999999999999992,142105263157894736,100000000000,10000000000000000000,optimized_bdc7b1ef-692a-49bf-ab08-32cb10173d4b.json,bdc7b1ef-692a-49bf-ab08-32cb10173d4b
greedy,100000000000000000000,1,99994000000000000000,30000,False,4,49999999999999992,194736842105263168,200000000000,100000000000000000000,greedy_8c56f1a0-9169-4d17-bd79-bbae756f6ec8.json,8c56f1a0-9169-4d17-bd79-bbae756f6ec8
